 Date = 2014.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -60.000   25.000  -36.73  -62.61   12978   10402   -7761  -25050   28212
  -60.000   30.000  -40.07  -63.11   13169   10077   -8478  -25963   29112
  -60.000   35.000  -43.41  -63.73   13339    9690   -9166  -27021   30134
  -60.000   40.000  -46.69  -64.48   13470    9240   -9801  -28218   31268
  -60.000   45.000  -49.87  -65.37   13544    8730  -10355  -29546   32502
  -60.000   50.000  -52.92  -66.39   13545    8167  -10806  -30987   33818
  -60.000   55.000  -55.81  -67.52   13459    7562  -11133  -32524   35198
  -60.000   60.000  -58.53  -68.75   13273    6930  -11320  -34132   36622
  -60.000   65.000  -61.03  -70.06   12980    6287  -11356  -35786   38067
  -60.000   70.000  -63.31  -71.44   12574    5648  -11234  -37460   39514
  -60.000   75.000  -65.32  -72.88   12054    5032  -10953  -39126   40941
  -60.000   80.000  -67.05  -74.35   11422    4454  -10517  -40758   42328
  -60.000   85.000  -68.42  -75.84   10682    3928   -9934  -42327   43654
